,Country,Year,Pollutant,Variable,Value
87,Australia,1990,Carbon dioxide,Total  emissions excluding LULUCF,278424.66
88,Australia,1991,Carbon dioxide,Total  emissions excluding LULUCF,279872.66
89,Australia,1992,Carbon dioxide,Total  emissions excluding LULUCF,284912.438
90,Australia,1993,Carbon dioxide,Total  emissions excluding LULUCF,289235.186
91,Australia,1994,Carbon dioxide,Total  emissions excluding LULUCF,294014.961
92,Australia,1995,Carbon dioxide,Total  emissions excluding LULUCF,305410.167
93,Australia,1996,Carbon dioxide,Total  emissions excluding LULUCF,312361.586
94,Australia,1997,Carbon dioxide,Total  emissions excluding LULUCF,320795.086
95,Australia,1998,Carbon dioxide,Total  emissions excluding LULUCF,334684.518
96,Australia,1999,Carbon dioxide,Total  emissions excluding LULUCF,344063.766
97,Australia,2000,Carbon dioxide,Total  emissions excluding LULUCF,350195.024
98,Australia,2001,Carbon dioxide,Total  emissions excluding LULUCF,357669.18299999996
99,Australia,2002,Carbon dioxide,Total  emissions excluding LULUCF,362209.54600000003
100,Australia,2003,Carbon dioxide,Total  emissions excluding LULUCF,369726.018
101,Australia,2004,Carbon dioxide,Total  emissions excluding LULUCF,383205.12200000003
102,Australia,2005,Carbon dioxide,Total  emissions excluding LULUCF,386513.45399999997
103,Australia,2006,Carbon dioxide,Total  emissions excluding LULUCF,392680.646
104,Australia,2007,Carbon dioxide,Total  emissions excluding LULUCF,399842.461
105,Australia,2008,Carbon dioxide,Total  emissions excluding LULUCF,404417.407
106,Australia,2009,Carbon dioxide,Total  emissions excluding LULUCF,407463.328
107,Australia,2010,Carbon dioxide,Total  emissions excluding LULUCF,405502.799
108,Australia,2011,Carbon dioxide,Total  emissions excluding LULUCF,404172.75700000004
109,Australia,2012,Carbon dioxide,Total  emissions excluding LULUCF,406506.242
110,Australia,2013,Carbon dioxide,Total  emissions excluding LULUCF,397943.179
111,Australia,2014,Carbon dioxide,Total  emissions excluding LULUCF,394116.89200000005
112,Australia,2015,Carbon dioxide,Total  emissions excluding LULUCF,401554.75700000004
113,Australia,2016,Carbon dioxide,Total  emissions excluding LULUCF,411031.531
114,Australia,2017,Carbon dioxide,Total  emissions excluding LULUCF,415097.42799999996
115,Australia,2018,Carbon dioxide,Total  emissions excluding LULUCF,415953.94700000004
116,Australia,1990,Methane,Total  emissions excluding LULUCF,124383.179
117,Australia,1991,Methane,Total  emissions excluding LULUCF,124308.869
118,Australia,1992,Methane,Total  emissions excluding LULUCF,123741.40800000001
119,Australia,1993,Methane,Total  emissions excluding LULUCF,120117.915
120,Australia,1994,Methane,Total  emissions excluding LULUCF,116834.942
121,Australia,1995,Methane,Total  emissions excluding LULUCF,115158.28199999999
122,Australia,1996,Methane,Total  emissions excluding LULUCF,115355.759
123,Australia,1997,Methane,Total  emissions excluding LULUCF,118199.041
124,Australia,1998,Methane,Total  emissions excluding LULUCF,117153.71800000001
125,Australia,1999,Methane,Total  emissions excluding LULUCF,113023.535
126,Australia,2000,Methane,Total  emissions excluding LULUCF,116699.185
127,Australia,2001,Methane,Total  emissions excluding LULUCF,115299.175
128,Australia,2002,Methane,Total  emissions excluding LULUCF,113507.386
129,Australia,2003,Methane,Total  emissions excluding LULUCF,108063.873
130,Australia,2004,Methane,Total  emissions excluding LULUCF,110200.455
131,Australia,2005,Methane,Total  emissions excluding LULUCF,111908.87599999999
132,Australia,2006,Methane,Total  emissions excluding LULUCF,111344.131
133,Australia,2007,Methane,Total  emissions excluding LULUCF,111065.15699999999
134,Australia,2008,Methane,Total  emissions excluding LULUCF,109353.59300000001
135,Australia,2009,Methane,Total  emissions excluding LULUCF,108388.536
136,Australia,2010,Methane,Total  emissions excluding LULUCF,106258.98599999999
137,Australia,2011,Methane,Total  emissions excluding LULUCF,108278.92599999999
138,Australia,2012,Methane,Total  emissions excluding LULUCF,107907.073
139,Australia,2013,Methane,Total  emissions excluding LULUCF,107218.469
140,Australia,2014,Methane,Total  emissions excluding LULUCF,105070.906
141,Australia,2015,Methane,Total  emissions excluding LULUCF,105368.80099999999
142,Australia,2016,Methane,Total  emissions excluding LULUCF,105873.93
143,Australia,2017,Methane,Total  emissions excluding LULUCF,108170.696
144,Australia,2018,Methane,Total  emissions excluding LULUCF,109532.21
145,Australia,1990,Nitrous oxide,Total  emissions excluding LULUCF,15938.285
146,Australia,1991,Nitrous oxide,Total  emissions excluding LULUCF,15558.912
147,Australia,1992,Nitrous oxide,Total  emissions excluding LULUCF,15367.956
148,Australia,1993,Nitrous oxide,Total  emissions excluding LULUCF,15837.186000000002
149,Australia,1994,Nitrous oxide,Total  emissions excluding LULUCF,16316.051000000001
150,Australia,1995,Nitrous oxide,Total  emissions excluding LULUCF,15585.368999999999
151,Australia,1996,Nitrous oxide,Total  emissions excluding LULUCF,16850.841
152,Australia,1997,Nitrous oxide,Total  emissions excluding LULUCF,17647.323
153,Australia,1998,Nitrous oxide,Total  emissions excluding LULUCF,17892.418
154,Australia,1999,Nitrous oxide,Total  emissions excluding LULUCF,18387.652
155,Australia,2000,Nitrous oxide,Total  emissions excluding LULUCF,19366.191000000003
156,Australia,2001,Nitrous oxide,Total  emissions excluding LULUCF,19686.166
157,Australia,2002,Nitrous oxide,Total  emissions excluding LULUCF,20212.34
158,Australia,2003,Nitrous oxide,Total  emissions excluding LULUCF,19019.889
159,Australia,2004,Nitrous oxide,Total  emissions excluding LULUCF,20697.955
160,Australia,2005,Nitrous oxide,Total  emissions excluding LULUCF,20793.963
161,Australia,2006,Nitrous oxide,Total  emissions excluding LULUCF,20723.376
162,Australia,2007,Nitrous oxide,Total  emissions excluding LULUCF,19156.994
163,Australia,2008,Nitrous oxide,Total  emissions excluding LULUCF,19431.196
164,Australia,2009,Nitrous oxide,Total  emissions excluding LULUCF,19818.98
165,Australia,2010,Nitrous oxide,Total  emissions excluding LULUCF,19711.354
166,Australia,2011,Nitrous oxide,Total  emissions excluding LULUCF,20478.323
167,Australia,2012,Nitrous oxide,Total  emissions excluding LULUCF,20821.194
168,Australia,2013,Nitrous oxide,Total  emissions excluding LULUCF,19651.621
169,Australia,2014,Nitrous oxide,Total  emissions excluding LULUCF,20096.664
170,Australia,2015,Nitrous oxide,Total  emissions excluding LULUCF,19557.631
171,Australia,2016,Nitrous oxide,Total  emissions excluding LULUCF,19566.392
172,Australia,2017,Nitrous oxide,Total  emissions excluding LULUCF,21265.585
173,Australia,2018,Nitrous oxide,Total  emissions excluding LULUCF,20114.445
174,Australia,1990,Hydrofluorocarbons,Total  emissions excluding LULUCF,1424.684
175,Australia,1991,Hydrofluorocarbons,Total  emissions excluding LULUCF,1424.684
176,Australia,1992,Hydrofluorocarbons,Total  emissions excluding LULUCF,1333.184
177,Australia,1993,Hydrofluorocarbons,Total  emissions excluding LULUCF,1829.872
178,Australia,1994,Hydrofluorocarbons,Total  emissions excluding LULUCF,1027.344
179,Australia,1995,Hydrofluorocarbons,Total  emissions excluding LULUCF,1004.0319999999999
180,Australia,1996,Hydrofluorocarbons,Total  emissions excluding LULUCF,414.171
181,Australia,1997,Hydrofluorocarbons,Total  emissions excluding LULUCF,705.2280000000001
182,Australia,1998,Hydrofluorocarbons,Total  emissions excluding LULUCF,998.29
183,Australia,1999,Hydrofluorocarbons,Total  emissions excluding LULUCF,1374.54
184,Australia,2000,Hydrofluorocarbons,Total  emissions excluding LULUCF,1613.953
185,Australia,2001,Hydrofluorocarbons,Total  emissions excluding LULUCF,2307.1079999999997
186,Australia,2002,Hydrofluorocarbons,Total  emissions excluding LULUCF,2925.8979999999997
187,Australia,2003,Hydrofluorocarbons,Total  emissions excluding LULUCF,3578.897
188,Australia,2004,Hydrofluorocarbons,Total  emissions excluding LULUCF,4267.137
189,Australia,2005,Hydrofluorocarbons,Total  emissions excluding LULUCF,5002.762
190,Australia,2006,Hydrofluorocarbons,Total  emissions excluding LULUCF,5166.706
191,Australia,2007,Hydrofluorocarbons,Total  emissions excluding LULUCF,6066.186
192,Australia,2008,Hydrofluorocarbons,Total  emissions excluding LULUCF,6858.964
193,Australia,2009,Hydrofluorocarbons,Total  emissions excluding LULUCF,8109.073
194,Australia,2010,Hydrofluorocarbons,Total  emissions excluding LULUCF,8672.212
195,Australia,2011,Hydrofluorocarbons,Total  emissions excluding LULUCF,9139.821
196,Australia,2012,Hydrofluorocarbons,Total  emissions excluding LULUCF,9055.869
197,Australia,2013,Hydrofluorocarbons,Total  emissions excluding LULUCF,9859.713
198,Australia,2014,Hydrofluorocarbons,Total  emissions excluding LULUCF,10778.851999999999
199,Australia,2015,Hydrofluorocarbons,Total  emissions excluding LULUCF,11795.325
200,Australia,2016,Hydrofluorocarbons,Total  emissions excluding LULUCF,11979.462
201,Australia,2017,Hydrofluorocarbons,Total  emissions excluding LULUCF,11685.936000000002
202,Australia,2018,Hydrofluorocarbons,Total  emissions excluding LULUCF,11982.082
203,Australia,1990,Perfluorocarbons,Total  emissions excluding LULUCF,4607.013
204,Australia,1991,Perfluorocarbons,Total  emissions excluding LULUCF,4610.7429999999995
205,Australia,1992,Perfluorocarbons,Total  emissions excluding LULUCF,4603.282999999999
206,Australia,1993,Perfluorocarbons,Total  emissions excluding LULUCF,3315.528
207,Australia,1994,Perfluorocarbons,Total  emissions excluding LULUCF,2164.429
208,Australia,1995,Perfluorocarbons,Total  emissions excluding LULUCF,1530.836
209,Australia,1996,Perfluorocarbons,Total  emissions excluding LULUCF,1410.395
210,Australia,1997,Perfluorocarbons,Total  emissions excluding LULUCF,1228.151
211,Australia,1998,Perfluorocarbons,Total  emissions excluding LULUCF,1660.519
212,Australia,1999,Perfluorocarbons,Total  emissions excluding LULUCF,1139.059
213,Australia,2000,Perfluorocarbons,Total  emissions excluding LULUCF,1287.062
214,Australia,2001,Perfluorocarbons,Total  emissions excluding LULUCF,1801.882
215,Australia,2002,Perfluorocarbons,Total  emissions excluding LULUCF,1727.6229999999998
216,Australia,2003,Perfluorocarbons,Total  emissions excluding LULUCF,1683.985
217,Australia,2004,Perfluorocarbons,Total  emissions excluding LULUCF,1713.849
218,Australia,2005,Perfluorocarbons,Total  emissions excluding LULUCF,1791.701
219,Australia,2006,Perfluorocarbons,Total  emissions excluding LULUCF,687.06
220,Australia,2007,Perfluorocarbons,Total  emissions excluding LULUCF,582.677
221,Australia,2008,Perfluorocarbons,Total  emissions excluding LULUCF,444.517
222,Australia,2009,Perfluorocarbons,Total  emissions excluding LULUCF,358.55199999999996
223,Australia,2010,Perfluorocarbons,Total  emissions excluding LULUCF,283.315
224,Australia,2011,Perfluorocarbons,Total  emissions excluding LULUCF,301.305
225,Australia,2012,Perfluorocarbons,Total  emissions excluding LULUCF,294.883
226,Australia,2013,Perfluorocarbons,Total  emissions excluding LULUCF,192.00099999999998
227,Australia,2014,Perfluorocarbons,Total  emissions excluding LULUCF,192.53599999999997
228,Australia,2015,Perfluorocarbons,Total  emissions excluding LULUCF,171.324
229,Australia,2016,Perfluorocarbons,Total  emissions excluding LULUCF,224.924
230,Australia,2017,Perfluorocarbons,Total  emissions excluding LULUCF,202.62599999999998
231,Australia,2018,Perfluorocarbons,Total  emissions excluding LULUCF,236.003
232,Australia,1990,Sulphur hexafluoride,Total  emissions excluding LULUCF,220.56
233,Australia,1991,Sulphur hexafluoride,Total  emissions excluding LULUCF,239.342
234,Australia,1992,Sulphur hexafluoride,Total  emissions excluding LULUCF,258.112
235,Australia,1993,Sulphur hexafluoride,Total  emissions excluding LULUCF,276.869
236,Australia,1994,Sulphur hexafluoride,Total  emissions excluding LULUCF,295.606
237,Australia,1995,Sulphur hexafluoride,Total  emissions excluding LULUCF,316.215
238,Australia,1996,Sulphur hexafluoride,Total  emissions excluding LULUCF,289.098
239,Australia,1997,Sulphur hexafluoride,Total  emissions excluding LULUCF,266.77299999999997
240,Australia,1998,Sulphur hexafluoride,Total  emissions excluding LULUCF,240.207
241,Australia,1999,Sulphur hexafluoride,Total  emissions excluding LULUCF,211.28900000000002
242,Australia,2000,Sulphur hexafluoride,Total  emissions excluding LULUCF,212.42700000000002
243,Australia,2001,Sulphur hexafluoride,Total  emissions excluding LULUCF,218.796
244,Australia,2002,Sulphur hexafluoride,Total  emissions excluding LULUCF,225.095
245,Australia,2003,Sulphur hexafluoride,Total  emissions excluding LULUCF,229.114
246,Australia,2004,Sulphur hexafluoride,Total  emissions excluding LULUCF,230.665
247,Australia,2005,Sulphur hexafluoride,Total  emissions excluding LULUCF,196.21599999999998
248,Australia,2006,Sulphur hexafluoride,Total  emissions excluding LULUCF,186.06900000000002
249,Australia,2007,Sulphur hexafluoride,Total  emissions excluding LULUCF,175.128
250,Australia,2008,Sulphur hexafluoride,Total  emissions excluding LULUCF,163.325
251,Australia,2009,Sulphur hexafluoride,Total  emissions excluding LULUCF,146.993
252,Australia,2010,Sulphur hexafluoride,Total  emissions excluding LULUCF,142.744
253,Australia,2011,Sulphur hexafluoride,Total  emissions excluding LULUCF,140.786
254,Australia,2012,Sulphur hexafluoride,Total  emissions excluding LULUCF,147.496
255,Australia,2013,Sulphur hexafluoride,Total  emissions excluding LULUCF,141.832
256,Australia,2014,Sulphur hexafluoride,Total  emissions excluding LULUCF,155.168
257,Australia,2015,Sulphur hexafluoride,Total  emissions excluding LULUCF,170.938
258,Australia,2016,Sulphur hexafluoride,Total  emissions excluding LULUCF,186.30700000000002
259,Australia,2017,Sulphur hexafluoride,Total  emissions excluding LULUCF,189.99400000000003
260,Australia,2018,Sulphur hexafluoride,Total  emissions excluding LULUCF,228.533
868,Canada,1990,Carbon dioxide,Total  emissions excluding LULUCF,462117.351
869,Canada,1991,Carbon dioxide,Total  emissions excluding LULUCF,452494.723
870,Canada,1992,Carbon dioxide,Total  emissions excluding LULUCF,467037.42
871,Canada,1993,Carbon dioxide,Total  emissions excluding LULUCF,467406.411
872,Canada,1994,Carbon dioxide,Total  emissions excluding LULUCF,482436.57899999997
873,Canada,1995,Carbon dioxide,Total  emissions excluding LULUCF,494920.255
874,Canada,1996,Carbon dioxide,Total  emissions excluding LULUCF,510736.656
875,Canada,1997,Carbon dioxide,Total  emissions excluding LULUCF,524789.167
876,Canada,1998,Carbon dioxide,Total  emissions excluding LULUCF,533639.793
877,Canada,1999,Carbon dioxide,Total  emissions excluding LULUCF,549553.212
878,Canada,2000,Carbon dioxide,Total  emissions excluding LULUCF,572162.103
879,Canada,2001,Carbon dioxide,Total  emissions excluding LULUCF,564946.3979999999
880,Canada,2002,Carbon dioxide,Total  emissions excluding LULUCF,570844.7779999999
881,Canada,2003,Carbon dioxide,Total  emissions excluding LULUCF,587178.149
882,Canada,2004,Carbon dioxide,Total  emissions excluding LULUCF,585703.098
883,Canada,2005,Carbon dioxide,Total  emissions excluding LULUCF,576434.464
884,Canada,2006,Carbon dioxide,Total  emissions excluding LULUCF,570950.381
885,Canada,2007,Carbon dioxide,Total  emissions excluding LULUCF,594220.571
886,Canada,2008,Carbon dioxide,Total  emissions excluding LULUCF,575586.9079999999
