,Unnamed: 0,Country,Year,Month,Pollutant,GHG,Element,Temperature
0,0,Australia,1990,January,Carbon dioxide,278424.66,Temperature change,0.7490000000000001
2,2,Australia,1990,February,Carbon dioxide,278424.66,Temperature change,-0.251
4,4,Australia,1990,March,Carbon dioxide,278424.66,Temperature change,1.092
6,6,Australia,1990,April,Carbon dioxide,278424.66,Temperature change,0.212
8,8,Australia,1990,May,Carbon dioxide,278424.66,Temperature change,1.204
10,10,Australia,1990,June,Carbon dioxide,278424.66,Temperature change,-0.375
12,12,Australia,1990,July,Carbon dioxide,278424.66,Temperature change,0.6990000000000001
14,14,Australia,1990,August,Carbon dioxide,278424.66,Temperature change,-0.218
16,16,Australia,1990,September,Carbon dioxide,278424.66,Temperature change,0.153
18,18,Australia,1990,October,Carbon dioxide,278424.66,Temperature change,0.6409999999999999
20,20,Australia,1990,November,Carbon dioxide,278424.66,Temperature change,1.652
22,22,Australia,1990,December,Carbon dioxide,278424.66,Temperature change,1.304
24,24,Australia,1991,January,Carbon dioxide,279872.66,Temperature change,0.556
26,26,Australia,1991,February,Carbon dioxide,279872.66,Temperature change,0.738
28,28,Australia,1991,March,Carbon dioxide,279872.66,Temperature change,0.27899999999999997
30,30,Australia,1991,April,Carbon dioxide,279872.66,Temperature change,0.434
32,32,Australia,1991,May,Carbon dioxide,279872.66,Temperature change,0.755
34,34,Australia,1991,June,Carbon dioxide,279872.66,Temperature change,1.745
36,36,Australia,1991,July,Carbon dioxide,279872.66,Temperature change,0.5479999999999999
38,38,Australia,1991,August,Carbon dioxide,279872.66,Temperature change,0.40700000000000003
40,40,Australia,1991,September,Carbon dioxide,279872.66,Temperature change,0.73
42,42,Australia,1991,October,Carbon dioxide,279872.66,Temperature change,1.544
44,44,Australia,1991,November,Carbon dioxide,279872.66,Temperature change,0.29600000000000004
46,46,Australia,1991,December,Carbon dioxide,279872.66,Temperature change,-0.011000000000000001
48,48,Australia,1992,January,Carbon dioxide,284912.438,Temperature change,-0.161
50,50,Australia,1992,February,Carbon dioxide,284912.438,Temperature change,0.414
52,52,Australia,1992,March,Carbon dioxide,284912.438,Temperature change,0.995
54,54,Australia,1992,April,Carbon dioxide,284912.438,Temperature change,0.851
56,56,Australia,1992,May,Carbon dioxide,284912.438,Temperature change,0.7509999999999999
58,58,Australia,1992,June,Carbon dioxide,284912.438,Temperature change,0.156
60,60,Australia,1992,July,Carbon dioxide,284912.438,Temperature change,0.649
62,62,Australia,1992,August,Carbon dioxide,284912.438,Temperature change,0.32899999999999996
64,64,Australia,1992,September,Carbon dioxide,284912.438,Temperature change,0.037000000000000005
66,66,Australia,1992,October,Carbon dioxide,284912.438,Temperature change,-0.41100000000000003
68,68,Australia,1992,November,Carbon dioxide,284912.438,Temperature change,-1.024
70,70,Australia,1992,December,Carbon dioxide,284912.438,Temperature change,-0.391
72,72,Australia,1993,January,Carbon dioxide,289235.186,Temperature change,0.578
74,74,Australia,1993,February,Carbon dioxide,289235.186,Temperature change,-0.192
76,76,Australia,1993,March,Carbon dioxide,289235.186,Temperature change,0.141
78,78,Australia,1993,April,Carbon dioxide,289235.186,Temperature change,1.242
80,80,Australia,1993,May,Carbon dioxide,289235.186,Temperature change,1.021
82,82,Australia,1993,June,Carbon dioxide,289235.186,Temperature change,-0.012
84,84,Australia,1993,July,Carbon dioxide,289235.186,Temperature change,1.172
86,86,Australia,1993,August,Carbon dioxide,289235.186,Temperature change,0.8490000000000001
88,88,Australia,1993,September,Carbon dioxide,289235.186,Temperature change,0.293
90,90,Australia,1993,October,Carbon dioxide,289235.186,Temperature change,-0.38799999999999996
92,92,Australia,1993,November,Carbon dioxide,289235.186,Temperature change,0.6629999999999999
94,94,Australia,1993,December,Carbon dioxide,289235.186,Temperature change,-0.439
96,96,Australia,1994,January,Carbon dioxide,294014.961,Temperature change,0.909
98,98,Australia,1994,February,Carbon dioxide,294014.961,Temperature change,0.032
100,100,Australia,1994,March,Carbon dioxide,294014.961,Temperature change,-0.6920000000000001
102,102,Australia,1994,April,Carbon dioxide,294014.961,Temperature change,0.003
104,104,Australia,1994,May,Carbon dioxide,294014.961,Temperature change,0.635
106,106,Australia,1994,June,Carbon dioxide,294014.961,Temperature change,0.043
108,108,Australia,1994,July,Carbon dioxide,294014.961,Temperature change,0.365
110,110,Australia,1994,August,Carbon dioxide,294014.961,Temperature change,-0.223
112,112,Australia,1994,September,Carbon dioxide,294014.961,Temperature change,0.258
114,114,Australia,1994,October,Carbon dioxide,294014.961,Temperature change,0.6659999999999999
116,116,Australia,1994,November,Carbon dioxide,294014.961,Temperature change,0.428
118,118,Australia,1994,December,Carbon dioxide,294014.961,Temperature change,1.016
120,120,Australia,1995,January,Carbon dioxide,305410.167,Temperature change,0.389
122,122,Australia,1995,February,Carbon dioxide,305410.167,Temperature change,-0.155
124,124,Australia,1995,March,Carbon dioxide,305410.167,Temperature change,-0.55
126,126,Australia,1995,April,Carbon dioxide,305410.167,Temperature change,-0.6729999999999999
128,128,Australia,1995,May,Carbon dioxide,305410.167,Temperature change,0.109
130,130,Australia,1995,June,Carbon dioxide,305410.167,Temperature change,0.353
132,132,Australia,1995,July,Carbon dioxide,305410.167,Temperature change,0.44799999999999995
134,134,Australia,1995,August,Carbon dioxide,305410.167,Temperature change,1.224
136,136,Australia,1995,September,Carbon dioxide,305410.167,Temperature change,1.2819999999999998
138,138,Australia,1995,October,Carbon dioxide,305410.167,Temperature change,0.13699999999999998
140,140,Australia,1995,November,Carbon dioxide,305410.167,Temperature change,0.575
142,142,Australia,1995,December,Carbon dioxide,305410.167,Temperature change,-0.281
144,144,Australia,1996,January,Carbon dioxide,312361.586,Temperature change,0.155
146,146,Australia,1996,February,Carbon dioxide,312361.586,Temperature change,0.37200000000000005
148,148,Australia,1996,March,Carbon dioxide,312361.586,Temperature change,0.077
150,150,Australia,1996,April,Carbon dioxide,312361.586,Temperature change,-0.125
152,152,Australia,1996,May,Carbon dioxide,312361.586,Temperature change,0.6990000000000001
154,154,Australia,1996,June,Carbon dioxide,312361.586,Temperature change,2.049
156,156,Australia,1996,July,Carbon dioxide,312361.586,Temperature change,0.924
