,Country,Year,Month,Pollutant,GHG,Element,Temperature
0,Australia,1990,January,Carbon dioxide,278424.66,Temperature change,0.749
1,Australia,1990,January,Carbon dioxide,278424.66,Standard Deviation,0.61
2,Australia,1990,February,Carbon dioxide,278424.66,Temperature change,-0.251
3,Australia,1990,February,Carbon dioxide,278424.66,Standard Deviation,0.574
4,Australia,1990,March,Carbon dioxide,278424.66,Temperature change,1.092
5,Australia,1990,March,Carbon dioxide,278424.66,Standard Deviation,0.519
6,Australia,1990,April,Carbon dioxide,278424.66,Temperature change,0.212
7,Australia,1990,April,Carbon dioxide,278424.66,Standard Deviation,0.556
8,Australia,1990,May,Carbon dioxide,278424.66,Temperature change,1.204
9,Australia,1990,May,Carbon dioxide,278424.66,Standard Deviation,0.84
10,Australia,1990,June,Carbon dioxide,278424.66,Temperature change,-0.375
11,Australia,1990,June,Carbon dioxide,278424.66,Standard Deviation,0.696
12,Australia,1990,July,Carbon dioxide,278424.66,Temperature change,0.699
13,Australia,1990,July,Carbon dioxide,278424.66,Standard Deviation,0.705
14,Australia,1990,August,Carbon dioxide,278424.66,Temperature change,-0.218
15,Australia,1990,August,Carbon dioxide,278424.66,Standard Deviation,0.709
16,Australia,1990,September,Carbon dioxide,278424.66,Temperature change,0.153
17,Australia,1990,September,Carbon dioxide,278424.66,Standard Deviation,0.745
18,Australia,1990,October,Carbon dioxide,278424.66,Temperature change,0.641
19,Australia,1990,October,Carbon dioxide,278424.66,Standard Deviation,0.763
20,Australia,1990,November,Carbon dioxide,278424.66,Temperature change,1.652
21,Australia,1990,November,Carbon dioxide,278424.66,Standard Deviation,0.721
22,Australia,1990,December,Carbon dioxide,278424.66,Temperature change,1.304
23,Australia,1990,December,Carbon dioxide,278424.66,Standard Deviation,0.672
24,Australia,1991,January,Carbon dioxide,279872.66,Temperature change,0.556
25,Australia,1991,January,Carbon dioxide,279872.66,Standard Deviation,0.61
26,Australia,1991,February,Carbon dioxide,279872.66,Temperature change,0.738
27,Australia,1991,February,Carbon dioxide,279872.66,Standard Deviation,0.574
28,Australia,1991,March,Carbon dioxide,279872.66,Temperature change,0.279
29,Australia,1991,March,Carbon dioxide,279872.66,Standard Deviation,0.519
30,Australia,1991,April,Carbon dioxide,279872.66,Temperature change,0.434
31,Australia,1991,April,Carbon dioxide,279872.66,Standard Deviation,0.556
32,Australia,1991,May,Carbon dioxide,279872.66,Temperature change,0.755
33,Australia,1991,May,Carbon dioxide,279872.66,Standard Deviation,0.84
34,Australia,1991,June,Carbon dioxide,279872.66,Temperature change,1.745
35,Australia,1991,June,Carbon dioxide,279872.66,Standard Deviation,0.696
36,Australia,1991,July,Carbon dioxide,279872.66,Temperature change,0.548
37,Australia,1991,July,Carbon dioxide,279872.66,Standard Deviation,0.705
38,Australia,1991,August,Carbon dioxide,279872.66,Temperature change,0.407
39,Australia,1991,August,Carbon dioxide,279872.66,Standard Deviation,0.709
40,Australia,1991,September,Carbon dioxide,279872.66,Temperature change,0.73
41,Australia,1991,September,Carbon dioxide,279872.66,Standard Deviation,0.745
42,Australia,1991,October,Carbon dioxide,279872.66,Temperature change,1.544
43,Australia,1991,October,Carbon dioxide,279872.66,Standard Deviation,0.763
44,Australia,1991,November,Carbon dioxide,279872.66,Temperature change,0.296
45,Australia,1991,November,Carbon dioxide,279872.66,Standard Deviation,0.721
46,Australia,1991,December,Carbon dioxide,279872.66,Temperature change,-0.011
